created_at,pm25_air,pm10_air,co_air,no2_air
16-12-2020 23:00,83.5,122.5,2,51.025
17-12-2020 00:00,85.5,125,2,49.23
17-12-2020 01:00,88,126,2,48.535
17-12-2020 02:00,90,131,2,47.035
17-12-2020 03:00,91,134,2,46.785
17-12-2020 04:00,94,140.5,2,44.75
17-12-2020 05:00,100.5,152.5,2,45.655
17-12-2020 06:00,110.5,180,2,44.32
17-12-2020 07:00,114,191.5,2,45.305
17-12-2020 08:00,110,176,2,47.195
17-12-2020 09:00,99,146,2,45.775
17-12-2020 10:00,92.5,131,2,46.47
17-12-2020 11:00,82,116.5,2,45.81
17-12-2020 12:00,66.5,98.5,2.5,41.32
17-12-2020 13:00,68,102,2,39.56
17-12-2020 14:00,65.5,99.5,1.5,39.82
17-12-2020 15:00,62.5,95.5,2,38.73
17-12-2020 16:00,55.5,90,2,39.73
17-12-2020 17:00,52.5,87.5,2,44.625
17-12-2020 18:00,53,88,1.5,49.53
17-12-2020 19:00,55.5,95,2,52.395
17-12-2020 20:00,62,108.5,2,55.75
17-12-2020 21:00,67.5,112.5,2.5,54.69
17-12-2020 22:00,80.5,127.5,3,53.605
17-12-2020 23:00,94,150,2,52.275
18-12-2020 00:00,97.5,155.5,2,51.3
18-12-2020 01:00,104,152.5,2,49.485
18-12-2020 02:00,108.5,159.5,2,46.86
18-12-2020 03:00,114.5,179.5,2,45.735
18-12-2020 04:00,121,197.5,2,46.9
18-12-2020 05:00,120.5,198,2,44.79
18-12-2020 06:00,115.5,181.5,2,45.435
18-12-2020 07:00,120,197,2,44.645
18-12-2020 08:00,125,210.5,2,45.885
18-12-2020 09:00,122,199,2,47.94
18-12-2020 10:00,116,179.5,2,48.86
18-12-2020 11:00,98.5,138.5,2,46.335
18-12-2020 12:00,82.5,115,2,42.18
18-12-2020 13:00,70,101,2,34.43
18-12-2020 14:00,65,96.5,2,29.485
18-12-2020 15:00,72.5,103,1,37.57
18-12-2020 16:00,72,103,2,37.805
18-12-2020 17:00,73.5,106.5,2,46.07
18-12-2020 18:00,75.5,109,2,50.345
18-12-2020 19:00,86,126,2,52.34
18-12-2020 20:00,96.5,149.5,2,52.575
18-12-2020 21:00,105,160.5,2,51.145
18-12-2020 22:00,110.5,178.5,2.5,50.545
18-12-2020 23:00,109,163,2,50.23
19-12-2020 00:00,109,165.5,2,49.155
19-12-2020 01:00,111,174,2,49.04
19-12-2020 02:00,111,180,2,49.51
19-12-2020 03:00,114,189.5,2,49.035
19-12-2020 04:00,112.5,184.5,2,47.69
19-12-2020 05:00,108.5,168,2,47.215
19-12-2020 06:00,99.5,145.5,2.5,46.36
19-12-2020 07:00,102,151.5,2.5,47.69
19-12-2020 08:00,100,149.5,2,48.45
19-12-2020 09:00,102.5,159,2,46.62
19-12-2020 10:00,93,135.5,2,48.67
19-12-2020 11:00,80.5,115,2,45.32
19-12-2020 12:00,81,115,2,45.355
19-12-2020 13:00,80.5,115.5,1.5,44.215
19-12-2020 14:00,73.5,108.5,2,41.64
19-12-2020 15:00,70.5,105,2,41.81
19-12-2020 16:00,69.5,104.5,2,43.915
19-12-2020 17:00,70.5,105.5,2,46.655
19-12-2020 18:00,74,112,2,50.24
19-12-2020 19:00,81.5,124,2,52.52
19-12-2020 20:00,92,145.5,2,53.855
19-12-2020 21:00,91,138.5,2,50.455
19-12-2020 22:00,90,135,2,48.315
19-12-2020 23:00,93.5,143,2,49.23
20-12-2020 00:00,94,144.5,2,48.88
20-12-2020 01:00,91.5,142,2,47.595
20-12-2020 02:00,89.5,138.5,2,47.805
20-12-2020 03:00,90.5,141.5,2,48.91
20-12-2020 04:00,87.5,132,2,48.275
20-12-2020 05:00,88.5,132.5,2,47.82
20-12-2020 06:00,85,129.5,2,47.585
20-12-2020 07:00,77,123,2,46.975
20-12-2020 08:00,73,120,2,45.475
20-12-2020 09:00,72.5,120,2,45.015
20-12-2020 10:00,72.5,117.5,2,45.215
20-12-2020 11:00,68,106,2,46.42
20-12-2020 12:00,61,100.5,2,46.5
20-12-2020 13:00,57.5,97.5,2,43.875
20-12-2020 14:00,54.5,92.5,2,42.775
20-12-2020 15:00,54,92.5,2,42.96
20-12-2020 16:00,51.5,90,2,43.31
20-12-2020 17:00,50,88.5,2,45.55
20-12-2020 18:00,51,91.5,2,48.685
20-12-2020 19:00,56,102,2,51.59
20-12-2020 20:00,64.5,114.5,2,51.475
20-12-2020 21:00,65.5,115,2,50.83
20-12-2020 22:00,65.5,116,2,50.015
20-12-2020 23:00,61,111,2,48.945
21-12-2020 00:00,54.5,100.5,2,47.26
21-12-2020 01:00,53,100,2,45.465
21-12-2020 02:00,55,104,2,45.175
21-12-2020 03:00,50.5,99,2,46
21-12-2020 04:00,39.5,87,2,45.865
21-12-2020 05:00,32.5,82,2,47.41
21-12-2020 06:00,33.5,80,2,47.785
21-12-2020 07:00,41,87.5,2,48.79
21-12-2020 08:00,50.5,101.5,2,48.705
21-12-2020 09:00,49.5,107,2,46.73
21-12-2020 10:00,40,90.5,2,45.795
21-12-2020 11:00,31.5,79.5,2,45.785
21-12-2020 12:00,34,80,2,46.32
21-12-2020 13:00,31.5,76,2,44.32
21-12-2020 14:00,28,67.5,1.5,41.845
21-12-2020 15:00,24,58.5,2,39.58
21-12-2020 16:00,25,63.5,2,44.17
21-12-2020 17:00,24,62.5,2,45.34
21-12-2020 18:00,26.5,76.5,2,49.32
21-12-2020 19:00,29.5,81.5,2,50.955
21-12-2020 20:00,46,101.5,2,53.365
21-12-2020 21:00,55,114,2,52.495
21-12-2020 22:00,55.5,109,2,51.905
21-12-2020 23:00,58,110,2,50.71
22-12-2020 00:00,59.5,110.5,2,50.745
22-12-2020 01:00,58.5,109,2,50.735
22-12-2020 02:00,54.5,105,2,51.105
22-12-2020 03:00,61.5,125,2,51.615
22-12-2020 04:00,69.5,130.5,2,51.23
22-12-2020 05:00,76,129,2,51.2
22-12-2020 06:00,77,128.5,2,49.42
22-12-2020 07:00,62,111.5,2,48.91
22-12-2020 08:00,65.5,119.5,2,47.95
22-12-2020 09:00,58.5,113,2,48.175
22-12-2020 10:00,51.5,99,2,45.31
22-12-2020 11:00,29.5,75,2,45.945
22-12-2020 12:00,24,66.5,2,46.095
22-12-2020 13:00,24,69.5,2,45.72
22-12-2020 14:00,24,67.5,2,44.9
22-12-2020 15:00,22.5,63.5,2,43.475
22-12-2020 16:00,21.5,60,2,43.755
22-12-2020 17:00,21.5,58.5,2,45.315
22-12-2020 18:00,25,75,2,50.76
22-12-2020 19:00,31,81,2,52.135
22-12-2020 20:00,47,100,2,53.265
22-12-2020 21:00,59.5,117.5,2,53.535
22-12-2020 22:00,62.5,118,2,53.025
22-12-2020 23:00,70,122,2,52.675
23-12-2020 00:00,77,132.5,2,53.335
23-12-2020 01:00,80.5,137.5,2,52.7
23-12-2020 02:00,77.5,130,2,52.725
23-12-2020 03:00,68.5,113.5,2,50.58
23-12-2020 04:00,77,129.5,2,51.015
23-12-2020 05:00,79,131.5,2,50.685
23-12-2020 06:00,85,138.5,3,50.72
23-12-2020 07:00,89,138,3,49.99
23-12-2020 08:00,91.5,147.5,3,50.305
23-12-2020 09:00,86,140,2,50.5
23-12-2020 10:00,77,117,2,46.91
23-12-2020 11:00,72.5,113.5,2,46.585
23-12-2020 12:00,58,98.5,2,45.4
23-12-2020 13:00,59.5,101,2,46.455
23-12-2020 14:00,58,100.5,2,45.88
23-12-2020 15:00,51.5,94.5,2,46.14
23-12-2020 16:00,51,93,1.5,46.83
23-12-2020 17:00,50,90.5,2,47.825
23-12-2020 18:00,53,96,2,50.49
23-12-2020 19:00,60,108,2,52.44
23-12-2020 20:00,64.5,106,2,51.45
23-12-2020 21:00,73,111,2,50.715
23-12-2020 22:00,83.5,119.5,2,50.055
23-12-2020 23:00,89,125.5,2,50.13
24-12-2020 00:00,90.5,128,2.5,51.04
24-12-2020 01:00,94,130,2,50.24
24-12-2020 02:00,90.5,125,2,48.645
24-12-2020 03:00,95,130,2,47.175
24-12-2020 04:00,103,138.5,2,47.115
24-12-2020 05:00,108.5,148.5,2,47.74
24-12-2020 06:00,116,163.5,2,48.245
24-12-2020 07:00,118.5,171,2,48.345
24-12-2020 08:00,122.5,177.5,2,49.31
24-12-2020 09:00,118,167.5,2,50.41
24-12-2020 10:00,106.5,143.5,2,48.15
24-12-2020 11:00,102,136.5,2,48.71
24-12-2020 12:00,99,134,2,48.28
24-12-2020 13:00,88,123,1.5,47.155
24-12-2020 14:00,75.5,109.5,2,44.975
24-12-2020 15:00,65.5,100.5,2,44.765
24-12-2020 16:00,53.5,89.5,2,44.045
24-12-2020 17:00,50.5,87,2,47.055
24-12-2020 18:00,46.5,84.5,2,49.515
24-12-2020 19:00,53,98,2,51.975
24-12-2020 20:00,67.5,114.5,2,53.58
24-12-2020 21:00,85.5,125,2,52.615
24-12-2020 22:00,90,124.5,2.5,51.085
24-12-2020 23:00,99.5,135,2,50.66
25-12-2020 00:00,107,142.5,2,50.17
25-12-2020 01:00,112.5,153.5,2,49.715
25-12-2020 02:00,112.5,152,2,48.035
25-12-2020 03:00,116.5,159.5,2,48.3
25-12-2020 04:00,123,177.5,2,48.56
25-12-2020 05:00,132.5,204,2,50.265
25-12-2020 06:00,135,207.5,2,50.71
25-12-2020 07:00,138.5,213.5,2,50.66
25-12-2020 08:00,142.5,215.5,2,49.005
25-12-2020 09:00,131,189,2.5,47.04
25-12-2020 10:00,126.5,180,2,46.71
25-12-2020 11:00,118.5,162,2,48.965
25-12-2020 12:00,110,144.5,2,48.025
25-12-2020 13:00,105,138,2,48.635
25-12-2020 14:00,101,132,2,46.605
25-12-2020 15:00,93,121,2,45.515
25-12-2020 16:00,89,116,2,45.5
25-12-2020 17:00,91.5,119,2,48.115
25-12-2020 18:00,95.5,125,2,50.81
25-12-2020 19:00,100.5,131.5,2,51.66
25-12-2020 20:00,105.5,140,2,51.25
25-12-2020 21:00,112,154,2.5,50.58
25-12-2020 22:00,118,167.5,2,50.95
25-12-2020 23:00,127.5,185,2,51.135
26-12-2020 00:00,134.5,204.5,2,50.405
26-12-2020 01:00,141,218.5,2,50.905
26-12-2020 02:00,149,230,2,49.475
26-12-2020 03:00,153.5,242.5,2,48.675
26-12-2020 04:00,154,252,2,48.88
26-12-2020 05:00,159.5,260.5,2,47.95
26-12-2020 06:00,171.5,291,3,47.92
26-12-2020 07:00,174,300,2,47.435
26-12-2020 08:00,182.5,325,2,47.515
26-12-2020 09:00,205.5,374.5,2,50.12
26-12-2020 10:00,140.5,209.5,2,47.75
26-12-2020 11:00,123.5,176,2,49.605
26-12-2020 12:00,113,156.5,2,48.445
26-12-2020 13:00,107.5,145.5,2,46.205
26-12-2020 14:00,98,131.5,2,44.6
26-12-2020 15:00,89,123,1.5,42.88
26-12-2020 16:00,81.5,116.5,2,44.555
26-12-2020 17:00,88.5,120.5,2,48.79
26-12-2020 18:00,91.5,124.5,2,51.195
26-12-2020 19:00,91.5,126.5,2.5,53.01
26-12-2020 20:00,92,129,2,52.76
26-12-2020 21:00,98.5,137,2,52.065
26-12-2020 22:00,111.5,161,2,52.875
26-12-2020 23:00,125.5,191.5,2,53.935
27-12-2020 00:00,136,210,3.5,50.66
27-12-2020 01:00,142.5,227,2,50.775
27-12-2020 02:00,148,240.5,2,50.585
27-12-2020 03:00,152.5,246,3,50.6
27-12-2020 04:00,156,260,2,50.25
27-12-2020 05:00,162.5,274,2,49.655
27-12-2020 06:00,167.5,285.5,2,49.495
27-12-2020 07:00,167.5,290.5,2,48.05
27-12-2020 08:00,177,309,2,46.91
