,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
183,193,2020-11-12 11:00:00,21.0,40.0,19.0,40.0,11.3,8.2,17.9,14.8
184,194,2020-11-12 13:00:00,21.0,42.0,22.0,51.0,13.4,9.2,23.7,15.4
185,195,2020-11-12 15:00:00,14.0,34.0,17.0,49.0,7.5,5.9,15.2,9.8
186,196,2020-11-12 17:00:00,17.0,36.0,19.0,58.0,9.6,7.8,16.8,13.3
187,198,2020-11-12 23:00:00,29.0,52.0,20.0,43.0,11.9,10.7,27.1,20.9
188,199,2020-11-13 00:00:00,31.0,56.0,15.0,45.0,12.2,10.9,31.3,21.5
189,200,2020-11-13 02:00:00,22.0,34.0,14.0,29.0,9.2,8.3,20.0,15.9
190,201,2020-11-13 03:00:00,31.0,48.0,20.0,37.0,13.6,12.4,25.0,22.3
191,202,2020-11-13 04:00:00,33.0,54.0,24.0,32.0,12.6,11.4,24.9,22.0
192,203,2020-11-13 05:00:00,33.0,54.0,18.0,37.0,12.7,11.5,26.7,22.7
193,204,2020-11-13 06:00:00,44.0,78.0,25.0,37.0,16.2,14.8,38.4,29.5
194,205,2020-11-13 07:00:00,36.0,76.0,25.0,43.0,14.5,13.1,36.5,26.4
195,206,2020-11-13 08:00:00,36.0,68.0,22.0,47.0,15.0,13.4,37.8,25.5
196,207,2020-11-13 11:00:00,22.0,40.0,20.0,50.0,12.5,10.8,39.5,17.7
197,208,2020-11-13 12:00:00,17.0,40.0,19.0,57.0,9.6,7.9,21.1,13.1
198,209,2020-11-13 13:00:00,19.0,42.0,25.0,53.0,9.3,8.3,22.9,14.5
199,210,2020-11-13 14:00:00,17.0,40.0,22.0,49.0,9.1,8.1,26.8,13.3
200,211,2020-11-13 15:00:00,17.0,34.0,20.0,58.0,9.5,8.5,16.3,13.9
201,212,2020-11-13 18:00:00,46.0,88.0,35.0,77.0,29.5,23.1,60.0,37.9
202,213,2020-11-13 19:00:00,40.0,93.0,43.0,121.0,30.1,19.0,79.3,32.7
203,214,2020-11-13 22:00:00,55.0,95.0,67.0,107.0,30.8,27.6,80.4,47.5
204,215,2020-11-14 00:00:00,52.0,89.0,54.0,100.0,28.1,25.2,69.7,41.7
205,216,2020-11-14 02:00:00,67.0,112.0,54.0,108.0,37.9,33.8,95.6,59.9
206,217,2020-11-14 06:00:00,48.0,86.0,37.0,77.0,21.9,19.6,58.4,36.9
207,218,2020-11-14 08:00:00,44.0,82.0,35.0,81.0,20.0,17.9,60.4,34.0
208,219,2020-11-14 11:00:00,26.0,56.0,24.0,71.0,14.0,11.8,36.9,20.5
209,220,2020-11-14 13:00:00,17.0,34.0,25.0,54.0,8.9,7.4,18.6,12.1
210,221,2020-11-14 14:00:00,15.0,32.0,19.0,53.0,9.0,8.1,20.7,12.2
211,222,2020-11-14 15:00:00,15.0,34.0,20.0,52.0,8.8,7.9,18.7,11.7
212,223,2020-11-14 16:00:00,14.0,28.0,24.0,48.0,9.4,6.7,11.3,9.9
213,224,2020-11-14 18:00:00,19.0,36.0,35.0,63.0,10.7,9.4,27.6,14.3
214,225,2020-11-14 21:00:00,73.0,113.0,83.0,179.0,48.6,43.6,113.8,73.3
215,226,2020-11-15 00:00:00,61.0,101.0,87.0,175.0,36.8,33.3,82.6,54.9
216,227,2020-11-15 01:00:00,50.0,88.0,82.0,130.0,27.4,24.6,57.5,40.7
217,228,2020-11-15 02:00:00,48.0,84.0,63.0,103.0,26.2,23.6,56.1,37.2
218,229,2020-11-15 03:00:00,53.0,88.0,55.0,88.0,28.7,25.9,56.2,43.0
219,230,2020-11-15 04:00:00,56.0,89.0,55.0,87.0,29.2,26.4,67.1,44.8
220,231,2020-11-15 05:00:00,55.0,88.0,42.0,75.0,27.2,24.6,56.4,44.6
221,233,2020-11-15 09:00:00,53.0,87.0,39.0,75.0,28.8,25.9,66.5,41.8
222,234,2020-11-15 10:00:00,49.0,88.0,40.0,76.0,27.1,24.3,73.6,41.0
223,235,2020-11-15 12:00:00,21.0,42.0,30.0,60.0,12.1,10.9,24.5,17.0
224,236,2020-11-15 13:00:00,19.0,38.0,22.0,52.0,11.5,10.4,19.2,14.7
225,238,2020-11-15 16:00:00,15.0,28.0,24.0,45.0,8.6,7.8,15.9,10.9
226,239,2020-11-15 18:00:00,22.0,44.0,20.0,51.0,13.2,11.8,23.5,18.3
227,241,2020-11-15 23:00:00,45.0,80.0,55.0,94.0,23.5,21.2,51.5,34.5
228,242,2020-11-16 00:00:00,47.0,82.0,48.0,79.0,23.0,21.0,51.2,36.3
229,243,2020-11-16 01:00:00,44.0,74.0,49.0,72.0,21.6,19.6,44.2,33.1
230,244,2020-11-16 02:00:00,35.0,54.0,36.0,64.0,17.9,16.2,35.9,27.2
231,245,2020-11-16 03:00:00,33.0,58.0,33.0,55.0,16.7,15.1,29.3,23.5
232,246,2020-11-16 04:00:00,44.0,76.0,26.0,57.0,22.1,20.2,40.7,32.8
233,247,2020-11-16 08:00:00,59.0,93.0,47.0,72.0,33.3,30.3,69.5,53.9
234,248,2020-11-16 09:00:00,48.0,82.0,34.0,77.0,25.8,23.2,54.4,38.2
235,249,2020-11-16 10:00:00,53.0,86.0,37.0,79.0,31.4,28.6,59.3,45.7
236,250,2020-11-16 11:00:00,47.0,82.0,45.0,83.0,24.7,22.4,51.6,36.1
237,251,2020-11-16 12:00:00,47.0,82.0,39.0,70.0,25.8,23.4,47.6,36.8
238,252,2020-11-16 13:00:00,44.0,72.0,39.0,77.0,24.9,22.7,46.7,35.0
239,253,2020-11-16 15:00:00,44.0,76.0,31.0,72.0,24.0,21.7,49.7,32.9
240,254,2020-11-16 17:00:00,40.0,68.0,33.0,66.0,23.0,20.8,43.7,31.5
241,255,2020-11-16 19:00:00,54.0,94.0,46.0,107.0,35.2,31.5,80.4,49.3
242,256,2020-11-16 20:00:00,54.0,93.0,55.0,120.0,32.8,29.3,84.4,47.2
243,257,2020-11-16 21:00:00,60.0,96.0,65.0,114.0,36.4,33.2,77.0,55.7
244,258,2020-11-16 22:00:00,62.0,96.0,61.0,97.0,38.7,35.1,80.6,57.6
245,259,2020-11-16 23:00:00,62.0,97.0,53.0,93.0,36.4,33.0,76.1,55.0
246,260,2020-11-17 01:00:00,57.0,92.0,43.0,83.0,31.9,28.9,69.7,50.5
247,261,2020-11-17 02:00:00,61.0,94.0,46.0,80.0,34.1,31.1,66.4,53.2
248,262,2020-11-17 04:00:00,67.0,95.0,39.0,68.0,36.7,33.5,76.8,60.3
249,263,2020-11-17 05:00:00,76.0,112.0,40.0,73.0,42.7,38.9,94.0,70.2
250,264,2020-11-17 06:00:00,81.0,114.0,51.0,82.0,44.2,40.0,91.5,71.9
251,265,2020-11-17 07:00:00,88.0,120.0,56.0,85.0,49.5,45.2,110.6,85.2
252,266,2020-11-17 09:00:00,54.0,91.0,47.0,89.0,32.0,29.0,66.3,48.3
253,267,2020-11-17 10:00:00,50.0,86.0,48.0,86.0,0.0,0.0,65.0,42.6
254,268,2020-11-17 11:00:00,49.0,87.0,46.0,89.0,26.6,24.1,54.0,41.2
255,269,2020-11-17 12:00:00,42.0,66.0,28.0,79.0,22.8,20.6,47.4,32.4
256,270,2020-11-17 13:00:00,35.0,64.0,36.0,69.0,19.3,17.5,32.9,25.8
257,271,2020-11-17 14:00:00,24.0,46.0,33.0,70.0,14.5,13.3,24.2,19.3
258,272,2020-11-17 15:00:00,31.0,52.0,30.0,64.0,17.6,16.0,27.6,23.4
259,273,2020-11-17 16:00:00,26.0,44.0,30.0,59.0,14.7,13.3,28.5,20.6
260,274,2020-11-17 17:00:00,31.0,62.0,27.0,57.0,18.2,16.3,30.8,24.1
261,275,2020-11-17 18:00:00,33.0,76.0,38.0,67.0,17.8,15.9,37.2,25.1
262,276,2020-11-17 19:00:00,35.0,68.0,36.0,78.0,20.7,18.1,40.3,27.3
263,277,2020-11-17 20:00:00,42.0,80.0,32.0,92.0,24.9,22.3,51.6,33.5
264,278,2020-11-17 21:00:00,51.0,94.0,55.0,111.0,32.4,27.8,76.8,45.7
265,279,2020-11-17 22:00:00,54.0,92.0,53.0,104.0,32.4,29.1,73.0,47.6
266,280,2020-11-17 23:00:00,59.0,99.0,52.0,110.0,36.2,32.7,75.4,53.1
267,281,2020-11-18 00:00:00,58.0,96.0,53.0,114.0,36.4,32.8,75.6,53.3
268,282,2020-11-18 02:00:00,60.0,95.0,44.0,75.0,33.6,30.7,66.8,52.7
269,283,2020-11-18 03:00:00,64.0,97.0,42.0,79.0,37.4,34.0,74.6,57.9
270,284,2020-11-18 04:00:00,73.0,105.0,46.0,73.0,42.9,39.1,90.6,69.7
271,285,2020-11-18 05:00:00,76.0,105.0,46.0,76.0,44.3,40.4,87.6,73.8
272,286,2020-11-18 06:00:00,84.0,116.0,47.0,70.0,45.0,41.2,95.7,78.3
273,287,2020-11-18 07:00:00,90.0,124.0,42.0,66.0,52.0,47.7,123.2,93.3
274,288,2020-11-18 08:00:00,71.0,104.0,37.0,71.0,39.7,36.2,80.3,66.1
275,289,2020-11-18 09:00:00,55.0,89.0,37.0,70.0,31.2,28.5,65.0,47.7
