,created_at,pm25,pm10,rh,temp
355,2020-11-04 18:45:00,39.9,44.4,35.26,30.55
356,2020-11-04 19:00:00,38.2,42.9,36.25,30.4
357,2020-11-04 19:15:00,38.1,42.6,35.54,30.07
358,2020-11-04 19:30:00,43.7,49.2,37.98,29.97
359,2020-11-04 19:45:00,40.4,45.3,38.33,29.76
360,2020-11-04 20:00:00,40.9,45.7,36.05,29.68
361,2020-11-04 20:15:00,38.4,42.6,38.53,29.72
362,2020-11-04 20:30:00,38.9,43.4,36.12,29.49
363,2020-11-04 20:45:00,37.5,41.8,36.37,29.34
364,2020-11-04 21:00:00,40.0,44.5,36.27,29.33
365,2020-11-04 21:15:00,42.1,46.8,36.25,29.21
366,2020-11-04 21:30:00,41.5,46.5,35.16,29.01
367,2020-11-04 21:45:00,47.7,53.2,37.02,29.2
368,2020-11-04 22:00:00,47.3,52.7,39.5,28.89
369,2020-11-04 22:15:00,51.2,57.2,39.84,28.89
370,2020-11-04 22:30:00,54.1,61.8,39.0,28.84
371,2020-11-04 22:45:00,54.0,61.7,41.45,28.65
372,2020-11-04 23:00:00,49.3,55.2,39.77,28.34
373,2020-11-04 23:15:00,49.1,55.3,39.38,28.15
374,2020-11-04 23:30:00,48.2,54.9,41.31,28.34
375,2020-11-04 23:45:00,50.2,59.4,43.23,28.13
376,2020-11-05 00:00:00,48.9,54.9,43.51,27.86
377,2020-11-05 00:15:00,54.0,60.6,43.56,27.68
378,2020-11-05 00:30:00,56.0,65.9,45.16,27.6
379,2020-11-05 00:45:00,51.6,60.3,44.77,27.67
380,2020-11-05 01:00:00,48.2,54.7,43.77,27.52
381,2020-11-05 01:15:00,48.9,54.9,44.05,27.28
382,2020-11-05 01:30:00,47.1,55.5,44.99,27.06
383,2020-11-05 01:45:00,46.5,53.0,45.13,26.86
384,2020-11-05 02:00:00,46.0,51.6,45.72,26.65
385,2020-11-05 02:15:00,46.7,52.4,46.4,26.49
386,2020-11-05 02:30:00,43.3,48.4,47.74,26.16
387,2020-11-05 02:45:00,44.5,50.7,48.15,26.06
388,2020-11-05 03:00:00,44.4,49.7,48.05,25.91
389,2020-11-05 03:30:00,43.2,48.2,49.29,25.66
390,2020-11-05 03:45:00,40.7,45.8,48.83,25.56
391,2020-11-05 04:00:00,42.2,47.2,48.97,25.43
392,2020-11-05 04:15:00,40.6,47.4,50.4,25.25
393,2020-11-05 04:30:00,43.7,48.9,51.4,25.03
394,2020-11-05 04:45:00,46.1,52.4,50.75,24.98
395,2020-11-05 05:00:00,46.1,51.8,50.97,24.87
396,2020-11-05 05:15:00,47.6,53.0,50.99,24.7
397,2020-11-05 05:30:00,46.0,51.5,50.63,24.62
398,2020-11-05 05:45:00,44.6,50.0,50.75,24.86
399,2020-11-05 06:00:00,49.5,55.4,51.49,24.77
400,2020-11-05 06:15:00,46.7,52.1,51.69,24.76
401,2020-11-05 06:30:00,46.3,51.6,51.75,24.75
402,2020-11-05 06:45:00,42.9,47.7,50.41,25.09
403,2020-11-05 07:00:00,42.1,47.3,49.01,25.4
404,2020-11-05 07:15:00,39.0,43.4,45.93,25.86
405,2020-11-05 07:30:00,38.7,43.4,47.79,26.49
406,2020-11-05 07:45:00,39.1,44.2,45.05,27.22
407,2020-11-05 08:00:00,39.1,48.5,44.54,27.98
408,2020-11-05 08:15:00,38.5,47.0,40.08,28.67
409,2020-11-05 08:30:00,47.1,52.8,43.81,29.03
410,2020-11-05 08:45:00,35.3,45.5,37.88,29.3
411,2020-11-05 09:00:00,31.5,35.2,37.54,29.85
412,2020-11-05 09:15:00,28.2,31.3,35.23,30.22
413,2020-11-05 09:30:00,23.1,25.8,30.96,30.15
414,2020-11-05 09:45:00,24.2,26.9,29.58,30.66
415,2020-11-05 10:00:00,23.5,26.0,28.06,30.59
416,2020-11-05 10:15:00,22.7,25.3,29.13,30.96
417,2020-11-05 10:30:00,23.0,25.8,27.08,31.26
418,2020-11-05 10:45:00,23.1,26.3,27.71,31.64
419,2020-11-05 11:00:00,23.3,26.0,28.09,31.8
420,2020-11-05 11:15:00,22.1,24.7,25.0,32.27
421,2020-11-05 11:30:00,23.1,25.6,26.15,33.01
422,2020-11-05 11:45:00,22.3,24.8,25.03,33.07
